geom,oid,longitude,latitude,providers,species,datasets,date_min,date_max,num_records,num_animals,num_species,csquare,geom_wkt
0103000020E610000001000000050000000000000000005A4000000000000026C00000000000405A4000000000000026C00000000000405A4000000000000028C00000000000005A4000000000000028C00000000000005A4000000000000026C0,21460106,105,-11,CSIRO,Rhincodon typus,1296,16/08/2018,16/08/2018,5,1,1,3110:114,"POLYGON((104 -11,105 -11,105 -12,104 -12,104 -11))"
0103000020E610000001000000050000000000000000005A4000000000000024C00000000000405A4000000000000024C00000000000405A4000000000000026C00000000000005A4000000000000026C00000000000005A4000000000000024C0,21460103,105,-11,CSIRO,Rhincodon typus,1296,15/08/2018,16/08/2018,4,1,1,3110:104,"POLYGON((104 -10,105 -10,105 -11,104 -11,104 -10))"
0103000020E610000001000000050000000000000000405A4000000000000024C00000000000805A4000000000000024C00000000000805A4000000000000026C00000000000405A4000000000000026C00000000000405A4000000000000024C0,21460150,106,-11,CSIRO,Rhincodon typus,1296,14/08/2018,15/08/2018,12,1,1,3110:205,"POLYGON((105 -10,106 -10,106 -11,105 -11,105 -10))"
0103000020E610000001000000050000000000000000805A4000000000000026C00000000000C05A4000000000000026C00000000000C05A4000000000000028C00000000000805A4000000000000028C00000000000805A4000000000000026C0,21460152,106,-11,CSIRO,Rhincodon typus,1296,14/08/2018,14/08/2018,1,1,1,3110:216,"POLYGON((106 -11,107 -11,107 -12,106 -12,106 -11))"
0103000020E610000001000000050000000000000000805A400000000000001CC00000000000C05A400000000000001CC00000000000C05A4000000000000020C00000000000805A4000000000000020C00000000000805A400000000000001CC0,21459980,106,-7,CSIRO,Rhincodon typus,1296,31/07/2018,31/07/2018,1,1,1,3010:476,"POLYGON((106 -7,107 -7,107 -8,106 -8,106 -7))"
0103000020E610000001000000050000000000000000C05A4000000000000026C00000000000005B4000000000000026C00000000000005B4000000000000028C00000000000C05A4000000000000028C00000000000C05A4000000000000026C0,21460153,107,-11,CSIRO,Rhincodon typus,1296,13/08/2018,13/08/2018,1,1,1,3110:217,"POLYGON((107 -11,108 -11,108 -12,107 -12,107 -11))"
0103000020E610000001000000050000000000000000005B4000000000000026C00000000000405B4000000000000026C00000000000405B4000000000000028C00000000000005B4000000000000028C00000000000005B4000000000000026C0,21460154,108,-11,CSIRO,Rhincodon typus,1296,13/08/2018,13/08/2018,1,1,1,3110:218,"POLYGON((108 -11,109 -11,109 -12,108 -12,108 -11))"
0103000020E610000001000000050000000000000000005B4000000000000020C00000000000405B4000000000000020C00000000000405B4000000000000022C00000000000005B4000000000000022C00000000000005B4000000000000020C0,21460003,109,-8,CSIRO,Rhincodon typus,1296,31/07/2018,14/09/2018,29,1,1,3010:488,"POLYGON((108 -8,109 -8,109 -9,108 -9,108 -8))"
0103000020E610000001000000050000000000000000005B400000000000001CC00000000000405B400000000000001CC00000000000405B4000000000000020C00000000000005B4000000000000020C00000000000005B400000000000001CC0,21459981,109,-8,CSIRO,Rhincodon typus,1296,03/08/2018,03/08/2018,1,1,1,3010:478,"POLYGON((108 -7,109 -7,109 -8,108 -8,108 -7))"
0103000020E610000001000000050000000000000000405B4000000000000035C00000000000805B4000000000000035C00000000000805B4000000000000036C00000000000405B4000000000000036C00000000000405B4000000000000035C0,21460537,110,-22,CSIRO,Rhincodon typus,1296,02/05/2019,04/05/2019,7,1,1,3210:219,"POLYGON((109 -21,110 -21,110 -22,109 -22,109 -21))"
0103000020E610000001000000050000000000000000405B400000000000002CC00000000000805B400000000000002CC00000000000805B400000000000002EC00000000000405B400000000000002EC00000000000405B400000000000002CC0,21460156,109,-14,CSIRO,Rhincodon typus,1296,10/08/2018,10/08/2018,1,1,1,3110:249,"POLYGON((109 -14,110 -14,110 -15,109 -15,109 -14))"
0103000020E610000001000000050000000000000000405B400000000000002AC00000000000805B400000000000002AC00000000000805B400000000000002CC00000000000405B400000000000002CC00000000000405B400000000000002AC0,21460155,109,-14,CSIRO,Rhincodon typus,1296,10/08/2018,10/08/2018,1,1,1,3110:239,"POLYGON((109 -13,110 -13,110 -14,109 -14,109 -13))"
0103000020E610000001000000050000000000000000405B4000000000000024C00000000000805B4000000000000024C00000000000805B4000000000000026C00000000000405B4000000000000026C00000000000405B4000000000000024C0,21460151,110,-10,CSIRO,Rhincodon typus,1296,29/07/2018,29/07/2018,1,1,1,3110:209,"POLYGON((109 -10,110 -10,110 -11,109 -11,109 -10))"
0103000020E610000001000000050000000000000000405B4000000000000022C00000000000805B4000000000000022C00000000000805B4000000000000024C00000000000405B4000000000000024C00000000000405B4000000000000022C0,21460026,110,-9,CSIRO,Rhincodon typus,1296,29/07/2018,31/07/2018,4,1,1,3010:499,"POLYGON((109 -9,110 -9,110 -10,109 -10,109 -9))"
0103000020E610000001000000050000000000000000405B4000000000000020C00000000000805B4000000000000020C00000000000805B4000000000000022C00000000000405B4000000000000022C00000000000405B4000000000000020C0,21460023,110,-8,CSIRO,Rhincodon typus,1296,11/08/2018,11/09/2018,53,2,1,3010:489,"POLYGON((109 -8,110 -8,110 -9,109 -9,109 -8))"
